Time,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
22:11:31,all,0.62,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,98.88
22:11:31,0,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:31,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:31,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:31,3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:31,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:31,5,2.97,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,96.04
22:11:31,6,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:31,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:32,all,0.00,0.00,0.38,0.00,0.00,0.25,0.00,0.00,0.00,99.37
22:11:32,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:32,1,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,98.02
22:11:32,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:32,3,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:32,4,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:32,5,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:32,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:32,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:33,all,0.63,0.00,1.13,0.00,0.00,0.38,0.00,0.00,0.00,97.87
22:11:33,0,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:33,1,0.00,0.00,0.98,0.00,0.00,2.94,0.00,0.00,0.00,96.08
22:11:33,2,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:33,3,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:33,4,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
22:11:33,5,1.98,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,96.04
22:11:33,6,1.03,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,96.91
22:11:33,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:34,all,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,99.25
22:11:34,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:34,1,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
22:11:34,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:34,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:34,4,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:34,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:34,6,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:34,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:35,all,0.37,0.00,0.62,0.00,0.00,0.37,0.00,0.00,0.00,98.63
22:11:35,0,0.00,0.00,0.00,0.00,0.00,2.91,0.00,0.00,0.00,97.09
22:11:35,1,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:35,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:35,3,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
22:11:35,4,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:35,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:35,6,2.04,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,96.94
22:11:35,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:36,all,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,99.50
22:11:36,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:36,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:36,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:36,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:36,4,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:36,5,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:36,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:36,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:37,all,0.12,0.00,0.62,0.00,0.00,0.12,0.00,0.00,0.00,99.12
22:11:37,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,99.00
22:11:37,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:37,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:37,3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:37,4,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:37,5,1.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.98
22:11:37,6,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:37,7,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,99.01
22:11:38,all,0.62,0.00,0.50,0.00,0.00,0.12,0.00,0.00,0.00,98.75
22:11:38,0,0.99,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:38,1,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,99.01
22:11:38,2,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:38,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:38,4,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:38,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:38,6,3.92,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,95.10
22:11:38,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:39,all,0.87,0.00,1.61,0.00,0.00,0.62,0.00,0.00,0.00,96.89
22:11:39,0,0.00,0.00,1.94,0.00,0.00,4.85,0.00,0.00,0.00,93.20
22:11:39,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:39,2,0.99,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,96.04
22:11:39,3,1.96,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,95.10
22:11:39,4,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
22:11:39,5,2.97,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,95.05
22:11:39,6,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.99
22:11:39,7,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:40,all,1.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,98.88
22:11:40,0,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.08
22:11:40,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:40,3,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.02
22:11:40,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
22:11:40,5,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:40,6,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
22:11:40,7,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
